,class,argtype,text,argtypetext 
13744,Argumentative,," by obliging our democratic institutions to take genuine account of public opinion , and returning real political power back to those to whom it rightly belongs -- the people -- we can put the relationship between the individual and the state back on a healthier footing .
",
4553,Argumentative,," this law not only deters people from becoming extremists through making them think twice about visiting extremist websites but it also helps to deter promoters of extremism through denying them an audience .
",
1732,Non-Argumentative,,"many eurozone states have neglected the revenue generating aspects of fiscal policy.
",
10995,Non-Argumentative,," the idea of intellectual property is relatively new, the term itself was not used until the 19th century and the legal principles only date back to the british statute of anne inand statute of monopolies from 1623.
",
3349,Argumentative,," in our times , when contraception is widely available and affordable , reproduction should be an active and responsible choice on the part of individuals .
",
1411,Non-Argumentative,,"the answer from the coalition government has been ‘high speed two’ (hs2), with high speedhaving been the link to the channel tunnel from london.
",
11416,Non-Argumentative,," in addition to the failure to capture joseph kony and other lra leaders in the uganda situation, sudanese president omar al-bashir travelled to an african union event in nigeria, a state party to the icc, but the nigerian authorities claimed that they could not arrest him due to provisions in the au treaties.
",
6776,Non-Argumentative,," it has been willing to engage in military adventures within the region.
",
4168,Non-Argumentative,," activists are unlikely to be able to match their states on their own; foreign aid can help redress the balance.”
",
11656,Argumentative,," impulsive behaviour is often influenced by alcohol and peer pressure .
",
15062,Argumentative,," this does not fit in with the type of egalitarianism many european countries seek to practice , and thus does not conform to western notions of individual rights .
",
14946,Argumentative,," much in the same way one can steal music online , blueprints for products can be decoded or stolen and subsequently reproduced at almost no expense .
",
9084,Argumentative,," a key character of global cities are the global connections made .
",
6579,Non-Argumentative,,"so is there any possible solution to the crisis.
",
11316,Non-Argumentative,,"traditionally, heads of states, and other state officials, have enjoyed some form of immunity from prosecution.
",
3817,Argumentative,," additionally , changes in the chemistry of the ocean could affect the amount of co2 it can absorb and process annually .
",
1161,Non-Argumentative,,"a lottery is a form of gambling whereby lots are drawn and, depending on selections, prizes handed out.
",
15650,Argumentative,," driving absent insurance means that there is an incentive to drive off if you cause an accident to avoid having to pay for the damages you have caused and being criminally punished for driving without insurance .
",
1097,Argumentative,," peer pressure drives most drug use among children and teenagers .
",
7060,Argumentative,," initiatives such as the mobile phone tax provide a trial for such a new model helping to gain support for future changes .
",
12613,Argumentative,," despite their far-reaching and grave consequences , cyber attacks by other states do not feature heavily in the news .
",
4411,Argumentative,," even in the ` quality ' press there 's still plenty of coverage of vacuous , self-absorbed , talentless individuals who are famous , mostly , for being famous .
",
3240,Non-Argumentative,,"despite the worries some people have about whether sex should ever be seen as entirely risk-free, every day this so-called ""safe sex"" is promoted more and more as a solution for the epidemic of sexually transmitted diseases amongst teenagers.
",
10961,Argumentative,," finally and often best , they can set up a form of truth and reconciliation commission .
",
1484,Argumentative,," the solution that is implemented right now through the european stability mechanism is a temporary one and has no power in preventing further crisis .
",
9116,Argumentative,," such demand will ensure improved health for women .
",
725,Argumentative,," also the researcher emphasized that in the michigan community grand rapids , a% shift of spending towards local businesses incould createjobs with a payroll ofmillion dollars .
",
13549,Non-Argumentative,," pacs are types of organisations that campaign for or against candidates and are allowed to receive limited contributions from individuals but not from corporations and unions.
",
974,Non-Argumentative,," can we justify keeping this subject obligatory for failing schools and schools under special measures?
",
5496,Non-Argumentative,," other countries (due to tourism and investment) have a special license for foreigners as the state connects the ban mainly to their islamic heritage.
",
12656,Argumentative,," pr results in more engagement in politics as every vote counts1 .
",
5405,Argumentative,," the xl pipeline project would help bring this oil overland into the united states .
",
3168,Argumentative,," everyone should have the right to communicate in their own mother tongue so enabling them to maintain their roots with their mother country .
",
12263,Argumentative,," a clear example is the iceland 's `` wiki constitution ''  .
",
12812,Argumentative,," there are even those , such as gregor gysi from the far left left party who say `` the fact that the german government and the federal prosecutor is n't acting shows that their fear of the us government is greater than their respect for our legal system . ''
",
7406,Non-Argumentative,," while it was known that the internet was monitored it was not known to what extent, the leaks showed that such surveillance was indiscriminate essentially hovering in much of the internet for analysis, so much that the data is often held for only a few days.
",
13443,Non-Argumentative,,"  examples are infantryman, tank crew member and combat pilot.
",
2279,Argumentative,," at the same time laboratories and lecture theatres do not stand empty for half the year , while students still haveweeks of vacation in which they can read and reflect on their learning .
",
7210,Argumentative,," the sources of this fdi vary , but china has become the major investor in the region , with investment rising from $billion to $billion in the past decade .
",
6027,Argumentative,," the second benefit is to the schools , who benefit on standardized testing scores and reduced absenteeism , as well as reduced staff time and attention devoted to students with low academic performance or behavior problems and other hidden costs of low concentration and performance of students .
",
13597,Non-Argumentative,," the debate is therefore not focused on whether there should be military action to strike at terrorists but whether we should be using unmanned aerial vehicles (uavs), sometimes called drones, in order to strike at these targets.
",
15596,Non-Argumentative,,"mirroring a growing acceptance of difference in sexual orientation seen in most western liberal democracies is a continued and violent lack of acceptance of “taboo” sexual practices in less socially-progressive areas of the world.
",
10544,Argumentative,," $ 25-30bn is required to invest in healthcare assets in the next decade to meet needs , mckinsey and company  .
",
479,Argumentative,," when various bans across different parts of the world began to be put in place on the advertising of tobacco products the companies behind them had to find both loopholes and alternative ways of advertising their product to both current but most importantly new potential customers .
",
3165,Non-Argumentative,," in reality almost all states are somewhere between the two poles.
",
1565,Argumentative,," furthermore , it would be best implemented through international cooperation , to limit the opportunity of one country to be able to offer higher salaries and poach talented individuals .
",
1654,Argumentative,," the european commission recognises the problem and is providing $million for placements around europe , member governments must do the same .
",
4229,Non-Argumentative,," it sends out the following message: intimidation can be used to chill freedom of expression.
",
3350,Argumentative,," parenting classes would be instrumental in ensuring that people reflect upon their decision to have children and understand the implications of their choice.
",
6492,Argumentative,," not only individuals but also parties will be appeased : the far left and right each feel strongly about this issue .
",
7298,Argumentative,," russia concludes that the missile defence system therefore must be directed at them .
",
11358,Argumentative,," the same might be the case with the dropping of the atomic bomb on hiroshima and nagasaki , they clearly targeted civilians , yet if they helped end the war without a ground invasion of japan then this war crime might have been for the greater good .
",
3090,Non-Argumentative,," moocs platforms can either be specialised (as udacity for sciences) or provide a wide range of subjects (such as coursera).
",
14404,Argumentative,," preventing , or at least hampering access to extremist materials serves to keep impressionable , swayable people from experiences that might turn them to extremism .
",
10327,Non-Argumentative,,"the democratic republic of the congo (drc) is one of the poorest and most war torn countries in the world.
",
12139,Argumentative,," and so more strict national security measures must be employed in order to keep up with the enemy .
",
177,Argumentative,," and once you take santa out of christmas , what else would be stripped away - christmas trees , lights , tinsel , christmas dinner ?
",
8924,Argumentative,," they identify seven different ways in which artificial borders lead to , or intensify conflict ; 1 , partitioning ethnicities creates irredentist demands 2 , partitioning makes an independence movement more likely 3 , when borders are not marked the ethnic group has a reason to attempt to change the border 4 , patronage politics leads to discrimination against minorities 5 , splitting ethnicities encourages smuggling and criminalisation 6 , splitting resources that were previously part of an ethnic group 's homeland will leave the ethnic group trying to engineer the resources return 7 , partitioning reduces development so increases inequality with and resentment towards the center of the state .
",
9222,Argumentative,," traditionally , heads of state have had immunity in foreign courts .
",
3547,Non-Argumentative,," germany has fuelled the debate by announcing a complete abandonment of its nuclear power programme by 2022, a u-turn on its previous decision to extend the life of its oldest plants by aroundyears.
",
192,Non-Argumentative,," this, combined with the ever increasing use of the internet to obtain and share music, shows that there are inconsistencies between the expectations and restrictions put on music and music videos and the expectations and restrictions placed on other forms of media.
",
14173,Argumentative,," not only has the policy agenda been different in scotland but so has the model of politics .
",
11156,Non-Argumentative,," in this case, each citizen would have a card with their personalised data, such as a fingerprint.
",
15888,Non-Argumentative,," the scandal surrounding the bidding process for the salt lake citywinter games revealed thatof theinternational olympic committee (ioc) members who were tasked with deciding who should be awarded the games were 'bought' with gifts and bribes.
",
244,Argumentative,," this does not mean that children will be forced to learn a global language , but because of the utility of the language most will want to when they are given the opportunity .
",
15202,Non-Argumentative,," early in 2013, reports suggested that facebook lost nine million active monthly users in the u.s and two million in britain, showing that many think that facebook now has too much of a negative impact on their lives.
",
12700,Argumentative,," in addition to cutting down on lost votes , this system would make the electoral process more legitimate in the eyes of the public , a factor that could itself raise voter turnout .
",
119,Argumentative,," for most people christmas today is not about a religious festival , but about consumption , greed and shopping .
",
15052,Non-Argumentative,," police officers, social workers and other public service workers would be made aware of the new regulations and be required to make those in their communities who might be vulnerable more aware of their rights.
",
14085,Non-Argumentative,,"the law may require a certain percentage of adult citizens to sign a petition to trigger a recall (3%-7% in switzerland, depending on the canton) or a certain percentage of the number of votes cast in the election of the incumbent (as in california, which requires 12%).
",
5234,Non-Argumentative,," what would be the effects of banning smoking in all public places, or even completely?
",
4210,Non-Argumentative,,"d)    finally, can the journalist prove that there is a matter of public interest.
",
13585,Argumentative,," financing laws limiting fundraising increase the likelihood of minority-party and independent challengers and produce higher rate of election competition .
",
15271,Argumentative,," different religious leaders condone , deem it irrelevant , or discourage it , but there is no one religion that explicitly says fgm is a necessary practice .
",
14096,Argumentative,," in other words , allowing recall elections will help to restore faith in politics and encourage active citizenship .
",
11589,Argumentative,," armed criminals operate in at least some areas of virtually every jurisdiction .
",
11188,Argumentative,," rather they can reap the benefits of convenience to them personally , alongside the added security benefit to their whole nation which will help to keep them safe .
",
10639,Non-Argumentative,," can we ever really know what they are?
",
1058,Argumentative,," it is the owners and the management that create the corporate culture which in murdoch tabloids meant profits at all costs and doing anything to get a story .
",
16008,Argumentative,," there is no reason to expose referees to criticism , threats and derision when we have the means to help them .
",
13187,Argumentative,," this is the case in european parliament elections at the moment ; young people in austria are able to vote in elections atwhile everyone else has to wait until they are eighteen .
",
1400,Argumentative,," it is investment because the government is paying for young people to gain experience and for companies to be training these temporary workers .
",
4218,Argumentative,," as a result journalists are able to present their audience with something they have good reason to believe is true .
",
3197,Argumentative,," it also gains from having another culture add diversity to its own ; there are new festivals , concerts , art , and perhaps most commonly encountered a greater diversity of cuisines to be sampled through restaurants .
",
7505,Argumentative,," while the new ` eu high representative for foreign and security policy ' marks only a bold first step towards a more unified voice for the eu , the decisions are indeed still based on a state by state consultation mechanism -- hence the name representative .
",
716,Argumentative,," shopping locally supports local farmers and the local economy -- and if it is the retailer who is buying locally then whether the retailer itself is not local will not matter .
",
2751,Argumentative,," it is wrong that parents can deliberately inflict pain to the extent that if inflicted on an adult it would justify prosecution .
",
6820,Non-Argumentative,," following gorbachev’s reforms, boris yeltsin continued to lead russia towards slow democratic reform untilwhen vladimir putin was elected president.
",
11690,Argumentative,," one key aim of sentencing is to convey moral censure , and to encourage offenders to truly consider the implications of their actions .
",
16027,Argumentative,," the main goal of an umpire is to make accurate calls .
",
11005,Argumentative,," only a tiny handful of perpetrators are ever caught , and though they are often punished severely in an attempt to deter future crime , it does little to stop it .
",
14792,Non-Argumentative,," examples of religious symbols include the christian, particularly catholic, crucifix, the muslim hijab and the sikh kirpan.
",
12324,Argumentative,," the simple reality of the market is this : the profit motive that drives the system is the difference between the price of labor , plant and materials on one hand and the price that can be charged on the other .
",
6666,Non-Argumentative,," crimea is strategic in large part because of the good harbours it has, something that russia otherwise lacks.
",
9365,Argumentative,," even without admitting it because international law is based upon state behaviour the use of force is legal as michael j glennon suggests `` the consent of united nations member states to the general prohibition against the use of force , as expressed in the charter , has in this way been supplanted by a changed intent as expressed in deeds . ''
",
9766,Non-Argumentative,," this case is generic and the arguments are broadly applicable to numerous examples: us policy towards cuba and haiti, iraq and the un, myanmar and the west, china and the wto, south african and the end of apartheid, turkey and the eu and pakistan and the commonwealth.
",
10259,Argumentative,," direct flights mean direct interconnections to desired ; and new , places .
",
15580,Argumentative,," specifically , since the implementation of the policy inmany men are finding there are simply no women to marry .
",
12739,Argumentative,," reno : university of nevada press .
",
7908,Non-Argumentative,," the french troops started withdrawing on the 25th of may but still (from february 2014) hastroops in the country.
",
2951,Non-Argumentative,,"s. 577,s. ct.
",
4673,Non-Argumentative,," for instance, only indid the un human rights committee declare that articleof the international covenant on civil and political rights embraces a right of access to information held by public bodies.
",
5418,Argumentative,," canada is determined to sell the oil one way or another , and an american refusal will not save the environment .
",
6906,Non-Argumentative,," in this case, the labour market is referred to in three contexts: internal (synthesising rural and urban markets), crossborders, and regional.
",
15037,Argumentative,," age of consent laws are in fact dangerous because they drive underground the very people who should be , and are in most need of , receiving contraceptives , advice on safe sex , and access to health and other educational services .
",
6885,Argumentative,," haphazard building can be controlled by investing in housing designs and inspections .
",
15733,Argumentative,," it is plain for all to see how unrepresentative rugby union in south africa is .
",
6452,Argumentative,," there are many other areas where cooperation between the america and russia is vital as well .
",
8048,Argumentative,," a un standing army would be better prepared , both in regards to training and equipment , and its soldiers would have greater motivation as they would have made a choice to enlist , rather than being conscripts forced by their own states to fight someone else 's war .
",
13064,Argumentative,," for example , the opinion polls seldom report the measure of uncertainty of the conclusions , by for example reporting standards deviations from means , sample size , etc, these measures are usually not published .
",
10629,Argumentative,," foreign affairs .
",
416,Argumentative,," this is why the organisation defense de la langue française , dlf , exists -- to invent terminology that prevents the french language from embracing yet more franglais .
",
8541,Argumentative,," this is exactly what happened to the league of nations after world war i .
",
10036,Argumentative,," in the un 'syears , the veto has been used nearlytimes .
",
9019,Non-Argumentative,," subsequent us legislation, including the american service-members’ protection act, dubbed the “hague invasion act” by its critics, authorizes the us president to use “all means necessary and appropriate” to remove any americans from the icc – in theory, according to critics of the legislation, even up to invading the hague.
",
4266,Non-Argumentative,," we may need to interrogate the lines between “speaker’, “disseminator”, “source” and “reporter” of knowledge.
",
13367,Argumentative,," peace can only be assured by bringing together the sides so that almost everyone accepts the status quo and does not want to destroy that status quo through force .
",
8935,Argumentative,," the opposite of what happens at the moment .
",
1397,Argumentative,," this in turn boosts demand for other goods and services so meaning there needs to be more output with the result that some jobs will be made permanent .
",
13276,Non-Argumentative,," or the results may be determined in advance through ballot stuffing, vote rigging, and bussing in supporters so they vote several times as occurs in russia.
",
7137,Argumentative,," economic growth has not been inclusive and jobs are scarce .
",
7534,Argumentative,," during those same years the united states was able to focus on its own growth , fighting only when its own vital interests were at stake , and pushed its borders from being just a small nation on the eastern coast of the north american continent to the point whereby it was a continent-spanning giant1 .
",
523,Argumentative,," the far-reaching and global nature of this harm is sufficient for it to be considered a crime against humanity .
",
10619,Argumentative,," only by allowing full due process in american courts can the rights of the detainees be uaranteed and their guilt or innocence truly established .
",
15287,Argumentative,," fgm is also a form of violence against women and a direct expression of patriarchal oppression .
",
1522,Non-Argumentative,," the debate is a serious one, because at its heart is the question of what information people use in their commercial dealings should be accessible permanently by firms and which can actually be distributed to someone willing to pay for.
",
2947,Non-Argumentative,," the court has rejected non-denominational prayers as unconstitutional: engel v. vitaleu.
",
15848,Argumentative,," so , by forcing them to stay in those leagues , you are denying potentially successful athletes fame , pride and money .
",
4523,Argumentative,," it is all well and good to talk of freedom of speech but the reality is that homophobic speeches , particularly those of a religious nature , may well lead to violence .
",
627,Argumentative,," by specifically banning a racial slur against one group , the , new york , city council fails to address the problems faced by various other groups .
",
4546,Argumentative,," america 's allies around the world have questioned the continued presence of us troops in the region and , in many cases , withdrawn their own - and -- if removing troops from the fight is not aiding the enemy , it would be difficult to imagine what might be .
",
2349,Argumentative,," the best academic departments are ones run with purely academic aims .
",
12994,Non-Argumentative,," those that are trying to prevent these regimes gaining nuclear weapons counter that despite slow progress the npt still applies.
",
11222,Argumentative,," what if the state that is intended to mount the `` piecemeal intervention '' of banning the use of child soldiers is weak , corrupt or non-existent ?
",
5980,Argumentative,," it is therefore necessary for consumers to be made aware of all their food contains in order to make safe and healthy choices for themselves and their families .
",
5588,Argumentative,," put into context , this amounts to roughly% of the health spending in the us .
",
8631,Non-Argumentative,," peacekeepers usually stand back and attempt to keep the peace, they are not meant to go on the offensive, although they will fight back if fired on, however this changed in early 2013.
",
13627,Argumentative,," this means that there are a large number of eyeballs to make sure that the right person is being targeted , to check he is with as few others as possible before the strike .
",
3333,Non-Argumentative,," should classes be offered on a voluntary basis or made compulsory for all prospective parents?
",
2569,Argumentative,," citing free speech, the law was successfully challenged by teachers unions as unconstitutional.
",
10845,Argumentative,," worse prison conditions for particular offences would act as a deterrent .
",
2893,Argumentative,," opponents argue that, while intentions might be good, this is simply another form of the segregation that has done american society so much damage.1 sharon lewis, candace simon, renatauzzell, amanda horwitz, michael casserly, ""a call for change: the social and educational factors contributing to the outcomes of black males in urban schools,"" the council of the great city schools, october 2010, 3.
",
4455,Non-Argumentative,,"a textbook entitled new history textbook (atarashii rekishi kyokasho) was published by a committee consisting of conservative scholars in 2000, and was approved as a social science textbook for junior high schools by the ministry of education in 2001.
",
7933,Non-Argumentative,," throughout the middle ages, mercenaries became prominent throughout italy where they were used by the city states to conduct their small scale conflicts.
",
12540,Argumentative,," this means that nato can not easily intervene in eastern europe without incurring the displeasure of russia .
",
2014,Argumentative,," such grids depend on the reliable and advanced broadband networks .
",
798,Argumentative,," because the seeming ` professionals ' are only supporting their team and are only there to entertain , it diminishes the overall status of cheerleading as a sport .
",
6588,Non-Argumentative,," russia would likely be willing to take one or the other, neither of which the west or ukraine are likely to consider a sufficient climbdown.
",
7174,Argumentative,," two key components responsible for the growth of nollywood , nigeria 's film industry , include access to digital technology and entrepreneurship .
",
5824,Argumentative,," testing new drugs is a very expensive process , inthe average cost was estimated at aroundmillion for the large scale phase iii tests1 however this is contested and it could be much higher it represents% of pharmaceutical companies r&d expenditures , which since a recent estimated the development cost of a drug can be up to $ 5.8 billion , due to including failures , the cost of trials would in some cases then be $ 2billion ,2 which is currently funded by pharmaceutical companies .
",
6405,Argumentative,," this will provide women with an asset that can be used to obtain loans to increase productivity .
",
15101,Non-Argumentative,,"this is not about states limiting or banning people from having children.
",
6204,Non-Argumentative,," king moshoeshoe appealed to the british who agreed to make the country a british protectorate.
",
1488,Argumentative,," issuing bonds as a union of countries will provide more control to the ecb that will be able to approve or deny a loan -- one option would be that after a certain limit countries would have to borrow on their own .
",
9841,Argumentative,," preconditions delay engagement and negotiations .
",
6969,Argumentative,," through the quota system women are given a voice in society .
",
5163,Argumentative,," paragraphof articleof the universal declaration of human rights states the following : `` everyone has the right to a standard of living adequate for the health and well-being of himself and of his family , including food , clothing , housing and medical care and necessary social services , and the right to security in the event of unemployment , sickness , disability , widowhood , old age or other lack of livelihood in circumstances beyond his control . ''
",
1088,Non-Argumentative,," tests can be conducted on urine, hair, breath or occasionally blood.
",
11421,Non-Argumentative,," there have in the past been suggestions that there should be a united nations rapid reaction force capable of intervening in crisis situations of cases of state collapse, in the 1990s the un secretary general kofi annan decided against any attempt to create a un standing army, but wished to increase the rapidity of response using un members.
",
3420,Non-Argumentative,," this state would cede some, or all, sovereignty over this territory.
",
5498,Argumentative,,"  alcohol is a mind altering drug , which can cause individuals to take actions they would have not done otherwise .
",
16100,Argumentative,," they have been part of the game for a very long time .
",
14446,Argumentative,," mp dimitris koukoutsis is being investigated for an assault in parliament on syriza , leftist , mp vasiliki katrivanou  , while party spokesman ilias kasidiaris assaulted two other mp 's on a chat show broadcasted live on tv  .
",
6277,Argumentative,," it is clear then that the icc makes decisions by broad external factors , which biases it against africa which does not have any countries on the unsc or any patrons sitting on the council .
",
1422,Argumentative,," the uk has a north south divide in terms of wealth and income .
",
6256,Non-Argumentative,," in order to be able to prosecute people involved in conflict, the icc needs to have a referral either from the country central to the conflict, by the united nations security council (being made up by the us, france, russia, china and the uk), or prosecutors can seek leave to charge leaders themselves.
",
14564,Argumentative,," an audit of the pentagon infound that the us department of defense wasted $billion over two years .
",
13289,Argumentative,," with sham elections the uncertainty is whether the elections will be a focus for violence .
",
9859,Argumentative,," cuba is too poor a country not to suffer from these losses .
",
9138,Argumentative,," girls will be granted equal access rights to family land and inheritance in the future , and decisions around marriage dowry can be changed .
",
5049,Argumentative,," physical property is a tangible asset , and thus can be protected by tangible safeguards .
",
5339,Non-Argumentative,,"anorexia nervosa (an) is an eating disorder defined as severe, self- inflicted starvation leading to body weight at least 15% below that expected for the individual’s sex and height and age.
",
13840,Argumentative,," puerto ricans are already citizens of the u.s. , and have been since1917 .
",
3542,Non-Argumentative,," this is different from nuclear fusion, a process by which small atoms are joined to create larger atoms, releasing energy in the process.
",
1379,Argumentative,," the temporary work scheme would encourage business to change their attitude and hire more young workers .
",
10061,Argumentative,," it should be remembered that the bosnian serbs have already voted ponce for secession as in a referendum in novemberin areas which were serb ethnic 96.4 % voted for an independent state within the then yugoslav federation .
",
4451,Argumentative,," the book could be presented as having a status far beyond what it is -- the ill thought-out and self-indulgent ramblings of a bad writer .
",
2786,Non-Argumentative,,"  for instance, teachers can be rewarded for individual performance and/or for the performance of their entire department/school.
",
11039,Argumentative,," secondly , the consumer has ample time to change his or her behaviour : a consumer can insist on infringing copyright at least two times before the sanction takes place .
",
16417,Argumentative,," states , throughout the world , ban consumer products because they are harmful regardless of whether this is for consumption or for cosmetics .
",
4824,Argumentative,," this behavioural imperative is absolute .
",
10421,Argumentative,," syria 's having joined the chemical weapons convention and allowed in inspectors may prevent more deaths as a result of chemical weapons but it has not stopped the conflict .
",
1141,Argumentative,," it is highly questionable whether burning a flag can be considered a speech or expressive act at all .
",
3759,Non-Argumentative,," the united nations climate change conferences at copenhagen and cancun did not live up to their billing and did not result in a renewal of kyoto or the creation of a replacement with agreements being in more minor areas such as creating a ‘green climate fund’ at cancun.
",
12470,Non-Argumentative,," nuclear weapons have ceased to dominate world politics; however, the fear of proliferation – the spread of weapons of mass destruction to many more countries – is also on the rise.
",
15703,Argumentative,," ukraine is clearly going in the wrong direction and european leaders need to stand up and show that the will not allow this to continue .
",
1434,Argumentative,," the west coast main line is a particular bottleneck for freight with% of uk freight services using the line ; any increase would have to come at the expense of passenger services .
",
9940,Argumentative,," in a world divided into a host of jealously independent and self-righteously sovereign nations , national leaders tend to point the finger of blame for these problems at other nations , and to resist international efforts toward resource conservation and environmental preservation .
",
6549,Non-Argumentative,," with a strong vision of a prosperous, stable, competitive, secure and politically united east africa, (1) the bloc has been hailed as the most active, vibrant and successful  in the african continent.
",
2527,Non-Argumentative,," in education, people see a clear route to a better life for their children.
",
1856,Non-Argumentative,,"swfs vary greatly in their investment strategies, with some like norway’s stabilisation fund or kuwait’s investment authority being content to act as passive investors holding small stakes in hundreds of companies as well as mutual funds, private equity groups and hedge funds.
",
10523,Argumentative,," the widespread introduction of low cost , high quality drugs will hopefully ensure that consumers do not turn to sellers in market places .
",
13803,Non-Argumentative,," and this raises the question, is english the only possible official language possible in a us state - as english-only advocates would have it - or is it possible to have another language as an official language as well?
",
4554,Argumentative,," if punishing users of extremist websites prevents even a few people who would otherwise have visited these websites from doing so and setting out on a part of radicalisation that leads to terrorism then it will have been a success .
",
846,Argumentative,," instead they have to learn about all religions to encourage tolerance .
",
8796,Non-Argumentative,," as well as providing direct counter-terrorist military support, africom and the united states agency for international development (usaid) have provided equipment, vehicles, and logistical and training support.
",
7970,Argumentative,," the dispossessed in society then begin to resist , with the ensuing conflict providing employment opportunities for mercenaries .
",
4747,Non-Argumentative,," as a journalist i’m not.
",
2100,Non-Argumentative,," examples would include sports, musical activities, debate, model united nations, community service, religious study groups, charitable fundraising, young enterprise projects, military cadet activities, drama, science clubs, and hobbies such as gardening, crafts, cookery and dance.
",
11711,Non-Argumentative,," this is generally interpreted by courts of law ‘to require only that law enforcement try some other techniques, not that they exhaust all reasonably available methods of obtaining the necessary evidence’.
",
1955,Argumentative,,"  changing from oda to remittances is good for freedom of choice in two ways .
",
5877,Argumentative,," given the high compliance rates of the bans on smoking in public places in countries like scotland , it is reasonable to predict that people will be just as law-abiding with a law that protects children from secondhand smoke in their homes .
",
6368,Argumentative,," it has been joined at the hip with europe , if other things had gone other ways this debate would not be happening as the islands could have remained an integral part of portugal as with madeira and the azores .
",
12029,Argumentative,," yet the blog platform is far from safe .
",
13548,Non-Argumentative,," eventually, this system of laws unraveled as the supreme court affirmed that political parties, labor unions, and political action committees(pacs) could spend unlimited amounts of “soft money” - spending not directly associated with a candidate’s campaign, such as broad issue advertisements, get-out-the-vote efforts, and party building strategies.
",
16104,Argumentative,," varitek 's manager at the time , terry francona , agreed : `` nobody wants to see anybody get hurt , but you got to play the game . ''
",
2196,Argumentative,," a national audit office report claims `` socioeconomic background remains a strong determinant of higher education participation .
",
3838,Non-Argumentative,," politically engaged salafist tunisians perceived the broadcast of the film as an attack against islam and tunisian’s moderate ennahda political movement.
",
9780,Argumentative,," the idea that palestinians and israelis can live in peace and harmony in one state , with tolerance for each other and in keeping with democratic principles of inclusion , is simply naive .
",
14961,Argumentative,," sharia law , for example , clearly denies them human rights like equality before the law , a basic human need according to universal declaration of human rights .
",
8375,Argumentative,," if these criteria are in place , such peoples should have the right to determine their own constitutional and political arrangements .
",
2015,Argumentative,," the incentive for states to employ broadband across their territory is tremendous , beyond mere access to fast internet .
",
3984,Argumentative,," mainstream success in hip hop has become synonymous with gangsta rap , and with artists who have backgrounds that lend veracity to their lurid verses .
",
10390,Argumentative,," meanwhile they also refused to broadcast speeches calling out for unity among people helping to lead to the assassination of the then prime minister agathe uwilingiyimana who opposed government restrictions .
",
3118,Argumentative,," all these costs can be cut or abandoned all together if universities move to online teaching .
",
13667,Argumentative,," a major problem with politics in western liberal democracies is that electorates feel disengaged from the political process as they are generally presented with a choice between parties at irregular intervals without much oversight over the calibre of candidate presented to them by each party .
",
6210,Non-Argumentative,,"key terms:annexation (latin ad, to, and nexus, joining) is the permanent acquisition and incorporation of some territorial entity into another geo-political entity (either adjacent or non-contiguous).
",
12788,Argumentative,," old leaders using election machines to retain power do their country a disservice .
",
8172,Argumentative,," the ecj has often been accused of `` judicial activism '' in over-stepping the legitimate boundaries of courts in a democracy .
",
13979,Argumentative,," one strength of a federal system is the way `` our states are our laboratories of democracy and we can look to them for the best practices and innovative ideas . ''
",
4971,Argumentative,," as it is assumed that most of society see it as a responsibility and a duty to protect others .
",
7489,Argumentative,," there is a big benefit for small businesses in hosting the large sporting events .
",
950,Argumentative,," a mix of confusion over copyright ownership and unwillingness of owners to release their works , often because it would not be commercially viable to do so , means that only% of all works currently protected by copyright are commercially available .
",
14426,Argumentative,," through their hateful messages and nazi inspired ideology and chants like `` blood , honour , golden dawn ''  , golden dawn are directly inciting hatred and violence amongst their supporters .
",
9892,Non-Argumentative,," the agreement erased the debt ofof the world’s poorest nations (mainly in sub-saharan africa).
",
4262,Non-Argumentative,,"(assange himself prefers the title “publisher and editor-in-chief who organises and directs other journalists”.)
",
6127,Argumentative,," men often have limited knowledge about family planning so it is necessary that they are included in learning and the transfer of knowledge , kaida et al  .
",
2274,Argumentative,," but mature students want focused , cost-effective courses that do not require them to take three or more years out of a career .
",
12010,Non-Argumentative,,"repressive governments, here defined as governments that are anti-democratic, that do not afford general civil rights to their citizens, and that do not have a robust respect for the rule of law, have sought to quell dissent and the voices of reform by many means.
",
2092,Argumentative,," 1mccreary county v. aclu of kentucky , oral argument
",
14110,Non-Argumentative,," members are appointed by the governor general (a largely ceremonial function) on the ‘advice’ the prime minister (so, practically the prime minister appoints the members) and remain in their seats until they reach the age of 75.
",
10380,Argumentative,,"president kagame though considered a visionary leader has made rwanda a country based on one man 's ideas .
",
10126,Non-Argumentative,,"it gave three interlocking reasons:1, today war between germany and france is unthinkable.
",
5919,Argumentative,," except in the most extreme and obvious cases of emotional or psychological disturbance , adults are automatically assumed to be capable of consenting to these acts .
",
8669,Argumentative,," this too is now close to being finished .
",
12757,Argumentative,," whereas the legislature and judiciary are composed of many competing views , with members of various parties and outlooks represented , the executive of a country speaks with a single voice .
",
4127,Non-Argumentative,," it is however becoming much more than this but a separate social sphere in itself.
",
16169,Non-Argumentative,," putting this into context, in the same time spanarticles were published on coventry city fc (a lower league british club) alone.
",
4767,Argumentative,," if the rights to privacy and self-determination are supported by those who support gay rights , then it would be inconsistent to suggest that this does not generate a right to avoid offence on behalf of those receiving news .
",
8359,Argumentative,," for indigenous peoples , self-determination may take the form of restitution for land that was stolen from them , or compensation and reparations .
",
